# <sim_time> <Fx> <Fy> <Fz>
0.002 9.71597e-15 -2.96462e-19 3433.5
0.003 9.71978e-15 -2.96462e-19 3433.5
0.004 9.72588e-15 -2.96462e-19 3433.5
0.005 9.73425e-15 -2.96462e-19 3433.5
0.006 9.74492e-15 -2.96462e-19 3433.5
0.007 9.75786e-15 -2.96462e-19 3433.5
0.008 9.7731e-15 -2.96462e-19 3433.5
0.009 9.79061e-15 -2.96462e-19 3433.5
0.01 9.81041e-15 -2.96462e-19 3433.5
0.011 9.8325e-15 -2.96462e-19 3433.5
0.012 9.85687e-15 -2.96462e-19 3433.5
0.013 9.88353e-15 -2.96462e-19 3433.5
0.014 9.91247e-15 -2.96462e-19 3433.5
0.015 9.9437e-15 -2.96462e-19 3433.5
0.016 9.97721e-15 -2.96462e-19 3433.5
0.017 1.0013e-14 -2.96462e-19 3433.5
0.018 1.00511e-14 -2.96462e-19 3433.5
0.019 1.00914e-14 -2.96462e-19 3433.5
0.02 1.01341e-14 -2.96462e-19 3433.5
0.021 1.0179e-14 -2.96462e-19 3433.5
0.022 1.02263e-14 -2.96462e-19 3433.5
0.023 1.02758e-14 -2.96462e-19 3433.5
0.024 1.03275e-14 -2.96462e-19 3433.5
0.025 1.03816e-14 -2.96462e-19 3433.5
0.026 1.0438e-14 -2.96462e-19 3433.5
0.027 1.04966e-14 -2.96462e-19 3433.5
0.028 1.05576e-14 -2.96462e-19 3433.5
0.029 1.06208e-14 -2.96462e-19 3433.5
0.03 1.06863e-14 -2.96462e-19 3433.5
0.031 1.07541e-14 -2.96462e-19 3433.5
0.032 1.08241e-14 -2.96462e-19 3433.5
0.033 1.08965e-14 -2.96462e-19 3433.5
0.034 18.0748 -41.9331 2089.56
0.035 18.2679 -42.6763 2076.08
0.036 18.4627 -43.5059 2062.35
0.037 18.659 -44.4246 2048.38
0.038 18.8564 -45.4354 2034.15
0.039 19.0548 -46.541 2019.67
0.04 19.2513 -47.5619 2005.23
0.041 19.4377 -47.8531 1991.89
0.042 19.6242 -48.1377 1978.48
0.043 19.8109 -48.4176 1964.98
0.044 19.9977 -48.6948 1951.41
0.045 20.1845 -48.9714 1937.76
0.046 20.3713 -49.2495 1924.03
0.047 20.5579 -49.5312 1910.22
0.048 20.7443 -49.8187 1896.34
0.049 20.9304 -50.1143 1882.37
0.05 21.1084 -50.7812 1867.75
0.051 21.2848 -51.4745 1853.03
0.052 21.4644 -51.9772 1838.56
0.053 21.6481 -52.2851 1824.37
0.054 21.8363 -52.3939 1810.45
0.055 22.0299 -52.2991 1796.81
0.056 22.2407 -52.4544 1782.46
0.057 22.4562 -52.6865 1767.86
0.058 22.6725 -52.9053 1753.19
0.059 22.8898 -53.1104 1738.46
0.06 23.1086 -53.3024 1723.68
0.061 23.3288 -53.4806 1708.86
0.062 23.5504 -53.6443 1693.99
0.063 23.7733 -53.793 1679.08
0.064 23.9977 -53.9261 1664.13
0.065 24.2234 -54.0428 1649.15
0.066 24.4504 -54.1425 1634.14
0.067 24.6787 -54.2246 1619.1
0.068 33.6301 -64.96 988.267
0.069 33.8861 -64.9143 973.868
0.07 34.1422 -64.8507 959.601
0.071 34.3984 -64.7691 945.469
0.072 34.6547 -64.6691 931.474
0.073 34.911 -64.5506 917.621
0.074 35.1672 -64.4133 903.912
0.075 35.4235 -64.257 890.349
0.076 35.6792 -64.0792 876.934
0.077 35.9348 -63.8818 863.672
0.078 36.1902 -63.6645 850.565
0.079 36.4453 -63.4271 837.616
0.08 36.7001 -63.1693 824.829
0.081 36.9545 -62.8909 812.206
0.082 37.208 -62.4876 799.824
0.083 37.4603 -61.9603 787.683
0.084 37.7121 -61.4105 775.714
0.085 37.9634 -60.8383 763.92
0.086 38.214 -60.2437 752.302
0.087 38.4639 -59.6268 740.862
0.088 38.7131 -58.9875 729.604
0.089 38.9615 -58.3259 718.528
0.09 39.2091 -57.6419 707.637
0.091 39.4558 -56.9357 696.933
0.092 39.7015 -56.2071 686.418
0.093 39.9463 -55.4562 676.093
0.094 40.19 -54.6829 665.961
0.095 40.4327 -53.8873 656.022
0.096 40.6742 -53.0693 646.28
0.097 40.9145 -52.2289 636.735
0.098 41.1536 -51.3659 627.389
0.099 41.3914 -50.4802 618.244
0.1 41.6278 -49.5718 609.3
0.101 41.8629 -48.6405 600.561
0.102 55.015 -71.5332 -177.813
0.103 55.4548 -71.5374 -191.699
0.104 55.9026 -71.5386 -205.615
0.105 56.3584 -71.35 -219.684
0.106 56.8249 -71.1223 -233.79
0.107 57.3229 -70.5952 -247.749
0.108 57.8047 -70.2221 -261.887
0.109 58.2952 -70.041 -276.254
0.11 58.7952 -69.8625 -290.733
0.111 59.3058 -69.6281 -305.298
0.112 59.8264 -69.0965 -319.787
0.113 60.3534 -67.6955 -333.796
0.114 60.8998 -67.3399 -347.953
0.115 61.467 -66.6012 -361.149
0.116 62.023 -65.6229 -374.324
0.117 62.5565 -65.5465 -388.334
0.118 63.098 -65.5544 -402.472
0.119 63.649 -65.5651 -416.657
0.12 64.2123 -65.4962 -430.771
0.121 64.8018 -64.6354 -443.494
0.122 65.3914 -64.2354 -457.405
0.123 65.9874 -63.7754 -471.384
0.124 66.5954 -62.9517 -484.868
0.125 67.243 -62.8457 -499.254
0.126 67.8903 -62.9513 -514.371
0.127 68.5046 -62.8365 -529.256
0.128 69.1562 -62.4531 -543.058
0.129 69.853 -62.2116 -557.84
0.13 70.5931 -61.9322 -572.323
0.131 71.2869 -61.3591 -586.431
0.132 71.9987 -60.6753 -601.229
0.133 72.7438 -60.3245 -616.103
0.134 73.4914 -60.1375 -630.216
0.135 74.2735 -59.5897 -645.462
0.136 92.2679 -75.8614 -1579.98
0.137 93.1973 -74.4049 -1595.54
0.138 94.1502 -72.7786 -1610.3
0.139 95.0916 -71.3245 -1624.25
0.14 96.1211 -69.6091 -1638.75
0.141 97.1829 -68.153 -1652.22
0.142 98.2406 -67.5257 -1664.15
0.143 99.3369 -65.9811 -1676.89
0.144 100.389 -64.0154 -1689.65
0.145 101.439 -61.9588 -1702.16
0.146 102.474 -60.6966 -1713.07
0.147 103.524 -58.7897 -1724.48
0.148 104.604 -56.5488 -1735.93
0.149 105.7 -54.3269 -1746.91
0.15 106.807 -51.9505 -1757.72
0.151 107.914 -49.5447 -1768.18
0.152 109.019 -47.1521 -1778.29
0.153 110.136 -44.4356 -1787.91
0.154 111.256 -41.4184 -1796.98
0.155 112.381 -38.5032 -1805.75
0.156 113.51 -35.7397 -1814.22
0.157 114.652 -33.2146 -1822.36
0.158 115.817 -31.316 -1829.99
0.159 117 -30.72 -1836.68
0.16 118.194 -29.3224 -1843.87
0.161 119.41 -27.8257 -1851.14
0.162 120.641 -27.2488 -1858.1
0.163 121.881 -26.733 -1865.11
0.164 123.156 -26.4902 -1870.8
0.165 124.418 -25.1143 -1876.96
0.166 125.7 -23.2485 -1883.46
0.167 126.992 -21.2719 -1889.95
0.168 128.293 -19.2394 -1896.27
0.169 129.602 -17.18 -1902.44
0.17 155.032 -9.11364 -2983.75
0.171 156.507 -6.12654 -2986.12
0.172 157.963 -3.06175 -2987.82
0.173 159.402 0.0591789 -2988.85
0.174 160.823 3.22121 -2989.22
0.175 162.217 6.41313 -2988.91
0.176 163.58 9.6261 -2987.89
0.177 164.917 12.8512 -2986.22
0.178 166.239 15.7131 -2984.16
0.179 167.556 18.9044 -2981.7
0.18 168.848 23.9392 -2979.04
0.181 170.109 28.353 -2975.95
0.182 171.342 32.7517 -2972.17
0.183 172.531 37.0092 -2967.66
0.184 173.691 41.8069 -2962
0.185 174.827 46.0592 -2955.87
0.186 175.939 49.6854 -2949.35
0.187 177.03 52.6164 -2942.5
0.188 178.124 55.4646 -2934.94
0.189 179.207 58.2034 -2926.63
0.19 180.272 60.6624 -2917.7
0.191 181.318 62.8361 -2908.16
0.192 182.346 64.725 -2898.03
0.193 183.355 66.3155 -2887.34
0.194 184.346 67.6109 -2876.12
0.195 185.318 68.635 -2864.33
0.196 186.264 69.3842 -2851.97
0.197 187.182 69.8629 -2839.05
0.198 188.083 70.0911 -2825.62
0.199 188.967 70.0774 -2811.69
0.2 189.825 70.9446 -2798
0.201 190.655 72.8143 -2784.59
0.202 191.466 74.6184 -2770.83
0.203 192.248 76.2885 -2756.72
0.204 216.304 116.232 -3887.05
0.205 216.938 118.866 -3862.48
0.206 217.551 121.073 -3837.62
0.207 218.139 123.604 -3812.21
0.208 218.709 125.891 -3786.27
0.209 219.268 127.632 -3759.87
0.21 219.833 129.443 -3733.28
0.211 220.376 133.367 -3707.71
0.212 220.902 136.848 -3681.42
0.213 221.405 139.672 -3654.41
0.214 221.906 141.892 -3626.7
0.215 222.399 143.479 -3598.33
0.216 222.864 144.45 -3569.39
0.217 223.287 144.861 -3539.9
0.218 223.674 144.715 -3509.91
0.219 224.031 144.027 -3479.48
0.22 224.344 142.821 -3448.64
0.221 224.61 141.122 -3417.43
0.222 224.841 138.949 -3385.79
0.223 225.06 136.345 -3353.6
0.224 225.212 135.924 -3322.02
0.225 225.38 135.65 -3290.78
0.226 225.531 135.275 -3259.22
0.227 225.665 134.81 -3227.36
0.228 225.782 134.273 -3195.19
0.229 225.879 133.756 -3162.72
0.23 225.945 133.572 -3129.85
0.231 226.007 132.604 -3096.91
0.232 226.061 131.67 -3063.79
0.233 226.099 130.627 -3030.48
0.234 226.123 129.548 -2996.98
0.235 226.133 128.395 -2963.3
0.236 226.13 127.172 -2929.46
0.237 226.114 125.873 -2895.47
0.238 244.939 180.74 -3982.57
0.239 244.887 177.369 -3936.16
0.24 244.816 173.484 -3889.23
0.241 244.719 169.07 -3841.86
0.242 244.578 166.642 -3795.51
0.243 244.401 165.142 -3749.32
0.244 244.182 165.551 -3701.66
0.245 243.931 166.515 -3653.47
0.246 243.674 164.872 -3606.89
0.247 243.401 164.336 -3559.49
0.248 243.099 161.91 -3513.21
0.249 242.767 159.131 -3467.08
0.25 242.375 156.253 -3420.92
0.251 241.956 153.999 -3374.31
0.252 241.516 151.843 -3327.5
0.253 241.132 149.127 -3280.73
0.254 240.69 145.961 -3234.33
0.255 240.097 142.508 -3188.23
0.256 239.533 139.206 -3141.9
0.257 238.828 137.732 -3092.93
0.258 237.847 135.872 -3044.56
0.259 236.861 132.917 -2997.77
0.26 236.25 129.605 -2951.53
0.261 235.54 126.155 -2905.92
0.262 234.929 123.305 -2859.67
0.263 234.358 120.701 -2813.02
0.264 233.777 118.548 -2764.02
0.265 233.133 116.745 -2716.06
0.266 232.464 114.643 -2670.09
0.267 231.715 112.547 -2624.11
0.268 231.081 110.816 -2577.42
0.269 230.437 109.259 -2530.47
0.27 229.852 107.234 -2480.46
0.271 229.23 105.9 -2433.12
0.272 242.633 151.154 -3439.03
0.273 241.851 149.829 -3381.53
0.274 241.1 148.757 -3323.27
0.275 240.289 147.391 -3264.74
0.276 239.47 144.232 -3202.5
0.277 238.56 141.636 -3140.47
0.278 237.553 139.773 -3078.84
0.279 236.53 139.049 -3018.5
0.28 235.442 138.539 -2957.84
0.281 234.327 138.337 -2896.97
0.282 233.172 138.009 -2835.56
0.283 231.974 137.368 -2773.47
0.284 230.716 134.988 -2709.7
0.285 229.41 131.573 -2644.79
0.286 228.025 127.345 -2578.99
0.287 226.613 122.922 -2512.69
0.288 225.18 121.09 -2447.83
0.289 223.714 119.575 -2382.88
0.29 222.216 118.173 -2317.72
0.291 220.685 116.812 -2252.33
0.292 219.122 115.454 -2186.71
0.293 217.526 114.079 -2120.87
0.294 215.941 111.346 -2057
0.295 214.306 110.189 -1990.98
0.296 212.643 109.155 -1925.31
0.297 210.941 107.355 -1861.26
0.298 209.227 106.014 -1796.69
0.299 207.486 104.384 -1732.48
0.3 205.723 102.715 -1668.25
0.301 203.934 101.005 -1604.01
0.302 202.119 99.2556 -1539.77
0.303 200.278 97.4652 -1475.55
0.304 198.413 95.6409 -1411.35
0.305 196.537 93.7948 -1347.16
0.306 205.753 140.405 -2239.58
0.307 203.757 137.899 -2161.97
0.308 201.811 133.399 -2087.82
0.309 199.778 132.634 -2008.21
0.31 197.712 129.545 -1932.63
0.311 195.652 127.202 -1856.52
0.312 193.607 124.469 -1781.28
0.313 191.537 121.736 -1706.02
0.314 189.448 118.936 -1630.8
0.315 187.339 116.053 -1555.64
0.316 185.211 113.059 -1480.57
0.317 183.064 109.902 -1405.6
0.318 180.892 106.43 -1330.74
0.319 178.658 101.48 -1255.77
0.32 176.401 95.357 -1180.78
0.321 174.189 91.5356 -1106.51
0.322 171.978 87.7606 -1032.53
0.323 169.754 83.5782 -958.813
0.324 167.513 80.4496 -885.677
0.325 165.255 77.4824 -812.977
0.326 162.981 74.6138 -740.723
0.327 160.713 72.999 -670.48
0.328 158.429 71.3758 -600.745
0.329 156.122 69.3154 -531.003
0.33 153.796 66.8641 -461.34
0.331 151.454 64.0637 -391.83
0.332 149.096 60.9587 -322.556
0.333 146.737 58.8252 -255.348
0.334 144.354 57.6487 -190.152
0.335 141.95 56.7615 -125.961
0.336 139.535 55.3953 -61.8545
0.337 137.109 53.5986 2.10582
0.338 134.674 51.4164 65.8611
0.339 132.24 48.8772 129.416
0.34 140.917 74.0497 -614.161
0.341 138.517 71.296 -539.321
0.342 136.102 68.5768 -465.133
0.343 133.668 65.8902 -391.62
0.344 131.226 63.7738 -319.517
0.345 128.803 62.9768 -249.699
0.346 126.382 61.305 -179.274
0.347 123.969 58.8678 -108.374
0.348 121.564 55.7581 -37.1283
0.349 119.179 52.8608 33.2067
0.35 116.82 51.7337 100.475
0.351 114.484 50.7672 166.965
0.352 112.183 49.3113 233.528
0.353 109.921 47.423 300.106
0.354 107.703 45.1555 366.642
0.355 105.53 42.5577 433.086
0.356 103.371 40.8165 497.693
0.357 101.231 39.2388 561.075
0.358 99.1054 37.6758 623.711
0.359 96.9947 36.1305 685.597
0.36 94.8996 34.6046 746.725
0.361 92.8102 32.9492 807.325
0.362 90.7349 31.26 867.219
0.363 88.6791 29.6063 926.29
0.364 86.6436 27.8969 984.609
0.365 84.6277 25.989 1042.26
0.366 82.6331 24.1379 1099.07
0.367 80.6605 22.3441 1155.02
0.368 78.7101 20.6082 1210.11
0.369 76.7825 18.9309 1264.35
0.37 74.8721 17.4011 1317.85
0.371 72.9744 16.1025 1370.71
0.372 71.1014 15.1696 1422.85
0.373 69.2552 14.2955 1474.08
0.374 76.8553 35.6165 839.331
0.375 75.0031 34.3969 898.265
0.376 73.1607 32.954 956.557
0.377 71.3373 31.1984 1014.23
0.378 69.5349 29.3594 1071.11
0.379 67.7546 27.5902 1127.09
0.38 65.9967 25.8914 1182.18
0.381 64.2581 24.3058 1236.38
0.382 62.5434 22.7875 1289.69
0.383 60.8525 21.3556 1342.07
0.384 59.1865 19.9862 1393.55
0.385 57.5451 18.6982 1444.18
0.386 55.9158 18.0427 1494.46
0.387 54.3038 17.7037 1544.04
0.388 52.722 17.3588 1592.6
0.389 51.1702 17.0081 1640.14
0.39 49.6478 16.6532 1686.67
0.391 48.1545 16.2962 1732.19
0.392 46.6909 15.9367 1776.72
0.393 45.2568 15.5758 1820.25
0.394 43.852 15.2146 1862.81
0.395 42.4765 14.854 1904.4
0.396 41.1295 14.4578 1945.09
0.397 39.8097 13.9262 1985.05
0.398 38.5186 13.3889 2024.1
0.399 37.2561 12.8476 2062.24
0.4 36.0218 12.3039 2099.47
0.401 34.8153 11.7633 2135.81
0.402 33.6357 11.2342 2171.29
0.403 32.4834 10.7125 2205.92
0.404 31.3621 10.1992 2239.67
0.405 30.277 9.72649 2272.6
0.406 29.2178 9.45888 2304.96
0.407 28.1846 9.21834 2336.52
0.408 34.4316 20.8505 1803.9
0.409 33.32 20.8976 1842.36
0.41 32.2404 20.9239 1879.87
0.411 31.1863 20.9339 1916.49
0.412 30.1572 20.9303 1952.21
0.413 29.2872 21.4965 1985.99
0.414 28.3114 21.4764 2019.93
0.415 27.3705 21.4426 2052.97
0.416 26.4559 21.3951 2085.14
0.417 25.5646 21.339 2116.47
0.418 24.6965 21.278 2146.97
0.419 23.8509 21.24 2176.67
0.42 23.0244 21.5045 2205.98
0.421 22.2204 21.8011 2234.49
0.422 21.4385 22.1363 2262.21
0.423 20.6782 22.5205 2289.13
0.424 19.9376 22.9779 2315.22
0.425 19.2052 23.6042 2340.35
0.426 18.5117 24.2415 2364.74
0.427 17.8452 25.0883 2388.13
0.428 17.2256 27.5851 2408.43
0.429 16.6239 29.4756 2428.91
0.43 16.0386 31.5852 2448.45
0.431 15.4577 32.3986 2469.1
0.432 14.8906 32.9797 2489.37
0.433 14.3404 33.4845 2509.02
0.434 13.7961 34.0059 2527.86
0.435 13.2714 34.4173 2546.48
0.436 12.7696 34.8593 2564.22
0.437 12.3004 35.5546 2580.22
0.438 11.8811 36.9878 2592.28
0.439 11.3982 37.2124 2607.51
0.44 10.9359 37.3678 2622.45
0.441 10.4779 37.5898 2636.09
0.442 15.1337 52.434 2173.95
0.443 14.6567 53.3787 2191.38
0.444 14.2457 54.4895 2207.75
0.445 13.8193 55.4206 2224.22
0.446 13.3735 56.1525 2240.53
0.447 12.9504 56.8429 2256.44
0.448 12.5391 57.4365 2272
0.449 12.1371 57.9786 2286.92
0.45 11.7289 58.4634 2301.1
0.451 11.3343 58.8584 2314.25
0.452 10.9622 58.9448 2325.06
0.453 10.6517 57.92 2329.93
0.454 10.2897 57.8713 2341.45
0.455 9.9321 57.6153 2353.55
0.456 9.58813 57.4409 2365.15
0.457 9.25938 57.316 2376.11
0.458 8.95354 57.1788 2386.07
0.459 8.68579 56.9429 2394.5
0.46 8.41089 56.7007 2402.37
0.461 8.1343 56.6282 2410.37
0.462 7.8675 56.6155 2417.95
0.463 7.61499 56.5438 2424.78
0.464 7.39072 55.9955 2430.15
0.465 7.15791 56.0352 2435.84
0.466 6.93353 56.1463 2440.99
0.467 6.71858 56.2788 2445.52
0.468 6.50424 56.4992 2449.8
0.469 6.2904 56.6271 2453.28
0.47 6.13121 55.9026 2454.4
0.471 5.9591 56.3589 2456.65
0.472 5.79702 56.8833 2458.31
0.473 5.64308 57.278 2459.47
0.474 5.49565 57.1365 2459.25
0.475 5.36819 57.5226 2459.24
0.476 8.59636 63.4393 2059.78
0.477 8.36898 63.4874 2064.65
0.478 8.14032 63.6093 2068.93
0.479 7.92483 63.7232 2072.43
0.48 7.74811 64.181 2074.2
0.481 7.59305 64.586 2074.78
0.482 7.42454 65.2944 2075.34
0.483 7.25944 66.029 2075.47
0.484 7.09853 66.7685 2075.17
0.485 6.94191 67.5026 2074.43
0.486 6.7895 68.224 2073.27
0.487 6.64146 68.9259 2071.7
0.488 6.49788 69.6019 2069.74
0.489 6.3581 70.2481 2067.4
0.49 6.22203 70.8599 2064.7
0.491 6.08931 71.4315 2061.64
0.492 5.95944 71.9571 2058.25
0.493 5.83087 72.5977 2054.77
0.494 5.70395 73.1514 2051.19
0.495 5.56875 73.9136 2048.34
0.496 5.43485 74.7483 2045.49
