# <sim_time> <x> <y> <z> <qx> <qy> <qz> <qw>
0.002 5 0 -2.94e-05 0 -3.33067e-22 0 1
0.003 5 0 -5.88e-05 0 -6.66134e-22 0 1
0.004 5 0 -9.8e-05 0 -1.11022e-21 0 1
0.005 5 0 -0.000147 0 -1.66533e-21 0 1
0.006 5 0 -0.0002058 0 -2.33147e-21 0 1
0.007 5 0 -0.0002744 0 -3.10862e-21 0 1
0.008 5 0 -0.0003528 0 -3.9968e-21 0 1
0.009 5 0 -0.000441 0 -4.996e-21 0 1
0.01 5 0 -0.000539 0 -6.10623e-21 0 1
0.011 5 0 -0.0006468 0 -7.32747e-21 0 1
0.012 5 0 -0.0007644 0 -8.65974e-21 0 1
0.013 5 0 -0.0008918 0 -1.0103e-20 0 1
0.014 5 0 -0.001029 0 -1.16573e-20 0 1
0.015 5 0 -0.001176 0 -1.33227e-20 0 1
0.016 5 0 -0.0013328 0 -1.5099e-20 0 1
0.017 5 0 -0.0014994 0 -1.69864e-20 0 1
0.018 5 0 -0.0016758 0 -1.89848e-20 0 1
0.019 5 0 -0.001862 0 -2.10942e-20 0 1
0.02 5 0 -0.002058 0 -2.33147e-20 0 1
0.021 5 0 -0.0022638 0 -2.56462e-20 0 1
0.022 5 0 -0.0024794 0 -2.80886e-20 0 1
0.023 5 0 -0.0027048 0 -3.06422e-20 0 1
0.024 5 0 -0.00294 0 -3.33067e-20 0 1
0.025 5 0 -0.003185 0 -3.60822e-20 0 1
0.026 5 0 -0.0034398 0 -3.89688e-20 0 1
0.027 5 0 -0.0037044 0 -4.19664e-20 0 1
0.028 5 0 -0.0039788 0 -4.50751e-20 0 1
0.029 5 0 -0.004263 0 -4.82947e-20 0 1
0.03 5 0 -0.004557 0 -5.16254e-20 0 1
0.031 5 0 -0.0048608 0 -5.50671e-20 0 1
0.032 5 0 -0.0051744 0 -5.86198e-20 0 1
0.033 5 0 -0.0054978 0 -6.22835e-20 0 1
0.034 5 1.19819e-07 -0.00582716 -1.46083e-06 -1.20975e-07 5.88537e-08 1
0.035 5 3.61602e-07 -0.00616244 -4.39719e-06 -3.64252e-07 1.77329e-07 1
0.036 5 7.27756e-07 -0.00650361 -8.82406e-06 -7.31166e-07 3.56206e-07 1
0.037 5 1.22095e-06 -0.00685061 -1.47567e-05 -1.22305e-06 5.96272e-07 1
0.038 5 1.84414e-06 -0.00720342 -2.22108e-05 -1.84124e-06 8.98323e-07 1
0.039 5 2.60056e-06 -0.00756199 -3.12022e-05 -2.58706e-06 1.26316e-06 1
0.04 5 3.4932e-06 -0.00792628 -4.17466e-05 -3.46176e-06 1.69154e-06 1
0.041 5 4.52301e-06 -0.00829625 -5.38588e-05 -4.46637e-06 2.18406e-06 1
0.042 5 5.69092e-06 -0.00867186 -6.75533e-05 -5.60188e-06 2.74129e-06 1
0.043 5 6.99785e-06 -0.00905308 -8.2845e-05 -6.86925e-06 3.36378e-06 1
0.044 5 8.44476e-06 -0.00943986 -9.97488e-05 -8.26942e-06 4.0521e-06 1
0.045 5 1.00326e-05 -0.00983217 -0.00011828 -9.8033e-06 4.80679e-06 1
0.046 5 1.17623e-05 -0.01023 -0.000138452 -1.14718e-05 5.62835e-06 1
0.047 5.00001 1.3635e-05 -0.0106332 -0.000160282 -1.32757e-05 6.51732e-06 1
0.048 5.00001 1.56516e-05 -0.0110419 -0.000183785 -1.52159e-05 7.47418e-06 1
0.049 5.00001 1.78133e-05 -0.0114559 -0.000208975 -1.72932e-05 8.49942e-06 1
0.05 5.00001 2.01221e-05 -0.0118752 -0.00023587 -1.95082e-05 9.59345e-06 1
0.051 5.00001 2.25804e-05 -0.0122999 -0.000264485 -2.18615e-05 1.07567e-05 1
0.052 5.00001 2.51899e-05 -0.0127297 -0.000294836 -2.43537e-05 1.19895e-05 1
0.053 5.00001 2.79518e-05 -0.0131648 -0.00032694 -2.69855e-05 1.32922e-05 1
0.054 5.00001 3.08667e-05 -0.013605 -0.000360812 -2.97575e-05 1.46654e-05 1
0.055 5.00001 3.39348e-05 -0.0140504 -0.000396465 -3.26706e-05 1.61094e-05 1
0.056 5.00002 3.71568e-05 -0.0145009 -0.000433917 -3.57257e-05 1.76249e-05 1
0.057 5.00002 4.05339e-05 -0.0149563 -0.000473183 -3.8924e-05 1.92124e-05 1
0.058 5.00002 4.4067e-05 -0.0154168 -0.000514279 -4.22667e-05 2.08727e-05 1
0.059 5.00002 4.77573e-05 -0.0158823 -0.00055722 -4.57548e-05 2.26064e-05 1
0.06 5.00002 5.16058e-05 -0.0163526 -0.000602024 -4.93895e-05 2.44141e-05 1
0.061 5.00002 5.56135e-05 -0.0168279 -0.000648706 -5.31719e-05 2.62965e-05 1
0.062 5.00002 5.97814e-05 -0.0173079 -0.000697282 -5.71033e-05 2.82543e-05 1
0.063 5.00003 6.41104e-05 -0.0177928 -0.000747769 -6.11846e-05 3.0288e-05 1
0.064 5.00003 6.86017e-05 -0.0182824 -0.000800183 -6.54172e-05 3.23984e-05 1
0.065 5.00003 7.3256e-05 -0.0187767 -0.00085454 -6.98021e-05 3.45861e-05 1
