# <sim_time> <Fx> <Fy> <Fz>
2.60867e-321 -43.0947 -0.000288631 2600.27
0.002 -42.7692 -0.000306685 2600.16
0.003 -42.4468 -0.000146211 2600.05
0.004 -42.1275 -0.0012805 2599.92
0.005 -41.8112 0.0018768 2599.79
0.006 -41.4948 -0.00336357 2599.66
0.007 -41.1803 0.00340389 2599.51
0.008 -40.8677 -0.00484531 2599.36
0.009 -40.5569 0.00476632 2599.21
0.01 -40.248 -0.00629113 2599.04
0.011 -39.9409 0.00616273 2598.87
0.012 -39.6357 -0.00776628 2598.69
0.013 -39.3322 0.00758893 2598.51
0.014 -39.0306 -0.00927262 2598.32
0.015 -38.7308 0.00904578 2598.12
0.016 -38.4328 -0.0108109 2597.92
0.017 -38.1366 0.0105339 2597.7
0.018 -37.8423 -0.0123817 2597.48
0.019 -37.5498 0.0120538 2597.26
0.02 -37.2591 -0.0139856 2597.03
0.021 -36.9703 0.0136059 2596.79
0.022 -36.6833 -0.0156231 2596.54
0.023 -36.3982 0.0151907 2596.29
0.024 -36.1149 -0.0172947 2596.03
0.025 -35.8336 0.0168085 2595.76
0.026 -35.5542 -0.0190007 2595.49
0.027 -35.2767 0.0184597 2595.21
0.028 -35.0011 -0.0207418 2594.92
0.029 -34.7275 0.0201447 2594.63
0.03 -34.4559 -0.0225184 2594.33
0.031 -34.1863 0.021864 2594.02
0.032 -33.9188 -0.0243309 2593.71
0.033 -33.6533 0.0236179 2593.39
0.034 -0.583871 1.20964e-07 3433.43
0.035 -0.583871 1.20964e-07 3433.43
0.036 -0.58387 1.20968e-07 3433.43
0.037 -0.58387 1.20972e-07 3433.43
0.038 -0.58387 1.20976e-07 3433.43
0.039 -0.58387 1.20981e-07 3433.43
0.04 -0.58387 1.20985e-07 3433.43
0.041 -0.58387 1.20989e-07 3433.43
0.042 -0.58387 1.20994e-07 3433.43
0.043 -0.58387 1.20998e-07 3433.43
0.044 -0.58387 1.21002e-07 3433.43
0.045 -0.58387 1.21006e-07 3433.43
0.046 -0.58387 1.21011e-07 3433.43
0.047 -0.58387 1.21015e-07 3433.43
0.048 -0.58387 1.21019e-07 3433.43
0.049 -0.58387 1.21024e-07 3433.43
0.05 -0.58387 1.21028e-07 3433.43
0.051 -0.58387 1.21032e-07 3433.43
0.052 -0.58387 1.21037e-07 3433.43
0.053 -0.58387 1.21041e-07 3433.43
0.054 -0.58387 1.21045e-07 3433.43
0.055 -0.58387 1.21049e-07 3433.43
0.056 -0.58387 1.21054e-07 3433.43
0.057 -0.58387 1.21058e-07 3433.43
0.058 -0.58387 1.21062e-07 3433.43
0.059 -0.58387 1.21067e-07 3433.43
0.06 -0.58387 1.21071e-07 3433.43
0.061 -0.58387 1.21075e-07 3433.43
0.062 -0.58387 1.2108e-07 3433.43
0.063 -0.58387 1.21084e-07 3433.43
0.064 -0.58387 1.21088e-07 3433.43
0.065 -0.58387 1.21092e-07 3433.43
0.066 -0.58387 1.21097e-07 3433.43
0.067 -0.58387 1.21101e-07 3433.43
0.068 -0.58387 1.21105e-07 3433.43
0.069 -0.58387 1.2111e-07 3433.43
0.07 -0.58387 1.21114e-07 3433.43
0.071 -0.58387 1.21118e-07 3433.43
0.072 -0.58387 1.21122e-07 3433.43
0.073 -0.58387 1.21127e-07 3433.43
0.074 -0.58387 1.21131e-07 3433.43
0.075 -0.58387 1.21135e-07 3433.43
0.076 -0.58387 1.2114e-07 3433.43
0.077 -0.58387 1.21144e-07 3433.43
0.078 -0.58387 1.21148e-07 3433.43
0.079 -0.58387 1.21153e-07 3433.43
0.08 -0.58387 1.21157e-07 3433.43
0.081 -0.58387 1.21161e-07 3433.43
0.082 -0.58387 1.21165e-07 3433.43
0.083 -0.58387 1.2117e-07 3433.43
0.084 -0.58387 1.21174e-07 3433.43
0.085 -0.58387 1.21178e-07 3433.43
0.086 -0.58387 1.21183e-07 3433.43
0.087 -0.58387 1.21187e-07 3433.43
0.088 -0.58387 1.21191e-07 3433.43
0.089 -0.58387 1.21196e-07 3433.43
0.09 -0.58387 1.212e-07 3433.43
0.091 -0.58387 1.21204e-07 3433.43
0.092 -0.58387 1.21209e-07 3433.43
0.093 -0.58387 1.21213e-07 3433.43
0.094 -0.58387 1.21217e-07 3433.43
0.095 -0.58387 1.21221e-07 3433.43
0.096 -0.58387 1.21226e-07 3433.43
0.097 -0.58387 1.2123e-07 3433.43
0.098 -0.58387 1.21234e-07 3433.43
0.099 -0.58387 1.21239e-07 3433.43
0.1 -0.58387 1.21243e-07 3433.43
0.101 -0.58387 1.21247e-07 3433.43
0.102 -0.58387 1.21252e-07 3433.43
0.103 -0.58387 1.21256e-07 3433.43
0.104 -0.58387 1.2126e-07 3433.43
0.105 -0.58387 1.21264e-07 3433.43
0.106 -0.58387 1.21269e-07 3433.43
