# <sim_time> <x> <y> <z> <qx> <qy> <qz> <qw>
0.002 5 5.14022e-14 -2.22577e-05 -1.0713e-14 2.35207e-06 5.5548e-15 1
0.003 5 -3.04331e-13 -4.45148e-05 -1.12701e-13 4.70425e-06 1.46341e-13 1
0.004 5 2.17348e-12 -7.41902e-05 1.27661e-13 7.84064e-06 -3.47418e-13 1
0.005 5 -1.53615e-12 -0.000111284 -5.34779e-13 1.17613e-05 5.92326e-13 1
0.006 5 3.53912e-12 -0.000155795 -6.10059e-14 1.64663e-05 -5.12903e-13 1
0.007 5 -1.93644e-12 -0.000207723 -1.16351e-12 2.19558e-05 1.05889e-12 1
0.008 5 5.60617e-12 -0.000267068 -5.75868e-13 2.82298e-05 -4.06241e-13 1
0.009 4.99999 -1.295e-12 -0.000333829 -2.1428e-12 3.52885e-05 1.79065e-12 1
0.01 4.99999 8.9526e-12 -0.000408006 -1.48048e-12 4.31319e-05 -1.58072e-14 1
0.011 4.99999 7.66348e-13 -0.000489598 -3.56474e-12 5.17602e-05 2.84897e-12 1
0.012 4.99999 1.39433e-11 -0.000578606 -2.8696e-12 6.11735e-05 7.24161e-13 1
0.013 4.99999 4.61109e-12 -0.000675027 -5.52508e-12 7.13719e-05 4.3011e-12 1
0.014 4.99999 2.09455e-11 -0.000778862 -4.83938e-12 8.23555e-05 1.88111e-12 1
0.015 4.99999 1.06081e-11 -0.000890111 -8.12076e-12 9.41245e-05 6.21529e-12 1
0.016 4.99998 3.0332e-11 -0.00100877 -7.4874e-12 0.000106679 3.52356e-12 1
0.017 4.99998 1.91318e-11 -0.00113484 -1.14503e-11 0.000120019 8.6608e-12 1
0.018 4.99998 4.24807e-11 -0.00126833 -1.0913e-11 0.000134146 5.72113e-12 1
0.019 4.99998 3.05625e-11 -0.00140922 -1.56141e-11 0.000149058 1.1708e-11 1
0.02 4.99998 5.77755e-11 -0.00155753 -1.52177e-11 0.000164756 8.54459e-12 1
0.021 4.99997 4.52864e-11 -0.00171324 -2.0715e-11 0.000181241 1.54284e-11 1
0.022 4.99997 7.66065e-11 -0.00187637 -2.05055e-11 0.000198512 1.2066e-11 1
0.023 4.99997 6.36962e-11 -0.0020469 -2.68583e-11 0.00021657 1.98949e-11 1
0.024 4.99997 9.93705e-11 -0.00222484 -2.6883e-11 0.000235415 1.63585e-11 1
0.025 4.99996 8.61916e-11 -0.00241018 -3.41521e-11 0.000255047 2.51815e-11 1
0.026 4.99996 1.26471e-10 -0.00260293 -3.44597e-11 0.000275466 2.14969e-11 1
